url,status_code,error,source_files
http://172.22.18.103/rza_adventures/php/home.php,,<urlopen error timed out>,"C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\T-Levels\2025 - 2026 Year 2 (Production, Design and Development)\OSC - Past Papers\OSC2024\digital-production-design-development-distinction-summer-2024.pdf"
http://9to5google.files.wordpress.com/2013/03/happy-5th-birthday-youtube-501ecffedf.jpg,404,HTTP Error 404: Not Found,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Camb Tech Level 3\Unit 1\2023\Week14 - Redfields and Emergent Technology.pptx
http://accessh.org/wp-content/uploads/2015/10/Estonian-eGovernance-Case-Study.compressed.pdf,404,HTTP Error 404: Not Found,"C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp1\Unit 9 Legal-moral-ethical-and-cultural-issues\Unit 9 Legal and cultural issues\T2 Ethical, moral and cultural issues\Unit 9 Worksheet 2 Answers.docx"
http://assets.inhabitat.com/wp-content/blogs.dir/1/files/2014/08/Turbo-roo1-537x432.jpg,,<urlopen error [Errno 11001] getaddrinfo failed>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 IT\2024 - 2025\Data and Excel skills (Prefect)\Week 1 - 3D printing in industry.pptx
http://bit.ly/ESAonFlickr&#xA;&#xA;We,400,HTTP Error 400: Bad Request,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 IT\2024 - 2025\Astro Pi Challenge\AstroPi Challenge 2024-25.pptx
http://blackboardmktg.com/wp-content/uploads/2011/11/blackboard-backgrounds-wallpapers.jpeg,,<urlopen error [Errno 11001] getaddrinfo failed>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp2\Year12\WK01_02 - A Level Comp 2 Problem solving and programming.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp2\Year12\WK02 - Sequence and Selection.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp2\Year12\WK03 - Sequence and Iteration.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\ALevel Computing\Comp2\Year12\WK05 - Arrays and Functions TictacToe.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 Computer Science\2024-2025\BBC BASIC\Getting started with BBC Basic\L3 - User input and calculations in BBC Basic (Mr Parr's file style).pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Y9 Computer Science\2024-2025\BBC BASIC\Text-based adventure game\L2 - Iteration and game sounds.pptx
http://blog.digistor.com/pros-and-cons-of-data-storage-devices/,409,HTTP Error 409: Conflict,"C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\Camb Tech Level 3\Unit 7\WVR\Admin (Course Handbook, etc)\Delivery Guide - Data analysis and design.pdf"
http://content.digital.nhs.uk/ncmp,,<urlopen error [Errno 11001] getaddrinfo failed>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\CyberEPQ\Using Research.pptx
http://content.wortech.ac.uk/cyberepq/topic09/session02/story_html5.html,,<urlopen error [Errno 11001] getaddrinfo failed>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\CyberEPQ\CyberEPQ - W23 -  Essay Writing.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\CyberEPQ\CyberEPQ - W25 -  Essay Writing .pptx
http://content.wortech.ac.uk/cyberepq/topic09/session03/story_html5.html,,<urlopen error [Errno 11001] getaddrinfo failed>,C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\CyberEPQ\CyberEPQ - W23 -  Essay Writing.pptx|C:\Users\meggletona\UTC Sheffield\Computing Staff - General\Archives\Archive June 2026\Teaching Resources\CyberEPQ\CyberEPQ - W25 -  Essay Writing .pptx
